ကျောက်တံတား,ပန်းပဲတန်း,လမ်းမတော်,လသာ,ဒဂုံ,အလုံ,စမ်းချောင်း,ကြည့်မြင်တိုင်,ဗိုလ်တထောင်,ပုဇွန်တောင်,မင်္ဂလာတောင်ညွန့်,သာကေတ,ဒေါပုံ,တာမွေ,သင်္ဃန်းကျွန်း,ရန်ကင်း,တောင်ဥက္ကလာပ,ဗဟန်း,ကမာရွတ်,လှိုင်,မရမ်းကုန်း,မြောက်ဥက္ကလာပ,မြောက်ဒဂုံ,တောင်ဒဂုံ,အရှေ့ဒဂုံ,ဒဂုံဆိပ်ကမ်း,အင်းစိန်,လှိုင်သာယာအရှေ့ပိုင်း,လှိုင်သာယာအနောက်ပိုင်း,မင်္ဂလာဒုံ,ရွှေပြည်သာ,လှည်းကူး,မှော်ဘီ,ထန်းတပင်,တိုက်ကြီး,ဆိပ်ကြီးခနောင်တို,ဒလ,ကော့မှူး,ကွမ်းခြံကုန်း,တွံတေး,သန်လျင်,ကျောက်တန်း,ခရမ်း,သုံးခွ,ကိုကိုးကျွန်း
,အမှတ် (၁၀),အမှတ် (၁၀),အမှတ် (၁၀),,ကရင်ခြံ,(တောင်) လင်းလွန်း,(အနောက်) စျေးကြီး,အမှတ် (၁၀),အမှတ် (၁၀),တောင်ညွန့်မီးရထား,၆/အရှေ့,လမုတန်း,ပုသိမ်ညွန့်,ဦးစံဖေ,အမှတ် (၁၁),အမှတ် (၁၂),သာသနာ့ရိပ်သာ,အမှတ် (၁၀),အမှတ် (၁၀),(၁၀) ချော်တွင်းကုန်း,ဇ,အမှတ် (၃၅),အမှတ် (၂၆),အမှတ် (၁၀),အမှတ် (၇၅),(အနောက်) ကြို့ကုန်း,ရွေလင်ဘန်း,အမှတ် (၁၉),ပေါက်ကုန်း,အမှတ် (၁၀),ပုတ်သင်ညို,ပသီ,ရိုးခွ,ဥက္ကံ ဦးအောင်ဇေယျ,,မြို့မအပိုင်း (၄),ပျဥ်ကတိုး,ကန်လျှားရှည်,အကလ,မြို့သစ်အလယ်,တံတားမြို့ (၁),အမှတ် (၁၀),အမှတ် (၁၀),
,အမှတ် (၁၁),အမှတ် (၁၁),,,သစ်တော,(မြောက်) စမ်းချောင်း,အိုးဘို,ဆိပ်ကမ်းမိသားစုရိပ်သာ,,မင်္ဂလာတောင်ညွန့်,၆/အနောက်,ယမုံနာ (၁),ကျားကွက်သစ်,သွပ်ဝိုင်းကြီး,အမှတ် (၁၂),အမှတ် (၁၃),ကျိက္ကဆံ,,အမှတ် (၁၁),,စျ,အမှတ် (၃၆),အမှတ် (၅၃),အမှတ် (၁၁),အမှတ် (၇၆),(အရှေ့) ကြို့ကုန်း,ကစင်,အမှတ် (၂၀),မင်္ဂလာဒုံစျေး,အမှတ် (၁၁),ဂွေးတောက်အိုင်,ချောင်းဝ,ရေပေါ်သောင်,ဥက္ကံ အနော်ရထာ,,အောင်မင်္ဂလာ,ညောင်ကုန်း,ကရင်ချောင်,ကသပေါင်း,မြို့သစ်အနောက်,တံတားမြို့ (၂),အမှတ် (၁၁),အမှတ် (၁၁),
,,အမှတ် (၁၂),,,,(တောင်) စမ်းချောင်း,ဘောဂ,ရဲရိပ်သာ,,ကျီတော်,၇/အရှေ့,ယမုံနာ (၂),(ကွက်သစ်) ဗျိုင်းရေအိုးစင်,သုမင်္ဂလာ,အမှတ် (၁၃),အမှတ် (၁၄),ဗိုလ်စိန်မှန်,,အမှတ် (၁၂),,ည,အမှတ် (၃၇),အမှတ် (၅၄),အမှတ် (၁၂),အမှတ် (၇၇),စော်ဘွားကြီးကုန်း,ညောင်,ကုလားကြီးစု,ပြန်လည်နေရာချထားရေး,အမှတ် (၁၂),ကျုံးကလေး,မှော်ဘီချောင်းဝ,ရေတွင်းကုန်း,ဥက္ကံ ဗန္ဓုလ,,ဘီအိုင်/အိုင်အက်ဖ်,ကျိုက်ထော် (မြောက်),ကညင်ကုန်း,ကျွဲဒရွတ်,မြို့မတောင်,တံတားမြို့ (၃),အမှတ် (၁၂),အမှတ် (၁၂),
,,မော်တင်ယာယီစျေး,,,,ရှင်စောပု,စျေးကလေး,,,တောင်လုံးပြန်,၇/အနောက်,ဇေယျာသီရိ,(ရွာမ) ဗျိုင်းရေအိုးစင်,နနွင်းကုန်း,အမှတ် (၁၄),အမှတ် (၁၅),အရှေ့ရွှေဂုံတိုင်,,အမှတ် (၁၃),,ဋ,အမှတ် (၃၈),အမှတ် (၅၅),အမှတ် (၁၃),အမှတ် (၇၈),နံ့သာကုန်း,ရှမ်းချောင်း,အလယ်,ပြည်တော်သာ,အမှတ် (၁၃),သာယာကုန်း,နှောကုန်း,သဘော့ချောင်း,ဥက္ကံ ဗိုလ်ချုပ်အောင်ဆန်း,,စက်မြေ,ကျိုက်ထော် (တောင်),ကြခတ်ကုန်းကြီး,ကရင်ချောင်း,မြို့မမြောက်,တံတားမြို့ (၄),ကွမ်းမိုးဒိန်း,ပုလဲ,
,,,,,,အောင်ချမ်းသာ,ပန်းလှိုင်,,,ရေတွင်းကုန်း,၈,သင်္ဘောကျင်း,မလွှကုန်းဌေးကြွယ် (က),ဆ/က,အမှတ် (၁၅),,အလယ်ရွှေဂုံတိုင်,,အမှတ် (၁၄),,ဌ,အမှတ် (၃၉),အမှတ် (၅၆),အမှတ် (၁၄),အမှတ် (၇၉),တောင်သူကုန်း,ရေဥက္ကံ,အတွင်းပဒံ,တောတိုက်,အမှတ် (၁၄),ကြာအင်း (အနောက်),ဘန့်ဘွေးကုန်း,ဒေါင့်ကြီး,ဥက္ကံ ဆင်ဖြူရှင်,,ကမာကသွယ,အောက်ကျောင်း,ကြခတ်ကုန်းလေး,ခနောင်ထိန်တပင်,အောင်မင်္ဂလာ,ကန်ပြောင်,ပေါက်ပင်,ညောင်နီ,
,,,,,,သီရိခေမာ,ထီးတန်းစက်မြေ,,,သပြေကုန်း,၉,,နတ်ချောင်း,ဆ/ခ,အမှတ် (၁၆),,ကိုယ့်မင်းကိုယ့်ချင်း,,အမှတ် (၁၅),,တံတားကြီး,အမှတ် (၄၀),အမှတ် (၅၇),အမှတ် (၁၅),အမှတ် (၈၀),(အရှေ့) ရွာမ,,အပြင်ပဒံ,(တောင်) ထောက်ကြံ့,အမှတ် (၁၅),ကျောက်ကုဒင်,လှည်းငုတ်ချောင်း,နဲဗျော,ဥက္ကံ ဘုရင့်နောင်,,ကမာကဆစ်,သမဲ့,ကန့်မလာ,စာဖြူစု,ဒါရ်ဂါ,ပီလခက်,ကမာမတ်,ရွာသစ်,
,,,,,,ဟုမ်းလမ်းဘူတာ,ကရင်အမျိုးသား,,,သာယာကုန်း,၁၀/တောင်,,တာမွေကြီး (က+ဂ),ဇ/တောင်,,,(အနောက်) ငါးထပ်ကြီး,,အမှတ် (၁၆),,ကျောက်ရေတွင်း,အမှတ် (၄၁),အမှတ် (၆၂),အမှတ် (၁၆) အရှေ့ပိုင်း,အမှတ် (၈၁),(အလယ်) ရွာမ,,,(မြောက်) ထောက်ကြံ့,အမှတ် (၁၆),ကလီထော် (အနောက်),ဖူးကြီး,ပက်အင်းကလေး,ဥက္ကံ မင်းရဲကျော်စွာ,,မှော်စက်,ကျုံလတာ,ခလောက်တရာ,ရေတွင်းကုန်း,ရေနံရပ်ကွက်,ကျုံကန်,မက္ကသန်,သိုက်တူးကန်,
,,,,,,(မြောက်) မြေနီကုန်း,ဆေးရိုးတန်းငြိမ်းချမ်းရေး,,,ပုသိမ်ညွန့်,၁၀/မြောက်,,တာမွေကြီး (ခ),ဇ/မြောက်,,,(မြောက်) ငါးထပ်ကြီး,,,,ပုရွက်ဆိတ်ကုန်း,အမှတ် (၄၂),အမှတ် (၆၃),အမှတ် (၅၂),အမှတ် (၈၂),(အနောက်) ရွာမ,,,ပ-စံပြ,အမှတ် (၁၇),ကလီထော် (အရှေ့),လက်ပံတန်းစု,ကျားဟုန်း,အဖျောက် (၁),,ဆာပါချောင်/ ကျောင်းစု,ပုပ္ပါး,ငှက်ကြီးဒေါင်,တူးချောင်းကြီး,အောင်ချမ်းသာ,ဝဲကြီး,ကျုံးကျုံးကျ,ကံမြင့်,
,,,,,,(တောင်) မြေနီကုန်း,သီတာ,,,မလွှကုန်းမီးရထား,စက်မှုလက်မှု,,မေတ္တာညွန့်,ဇဝန,,,(တောင်) ငါးထပ်ကြီး,,,,ဝေဘာဂီမြို့သစ်,အမှတ် (၄၃),အမှတ် (၆၄),အမှတ် (၁၀၈),အမှတ် (၈၃),ဖော့ကန်,,,ဒု-စံပြ,အမှတ် (၁၈),ဟိုင်းကူး,ဝါးပတော,ချောင်းညီအကို,အဖျောက် (၂),,ကျန်စစ်သား,မှော်တော,တိုက်ကြီး,မဝန်း,ဝင်းခနီး,ရွာသစ်ကြီး,အုပ်ဖို,ပျဥ်းမကန်,
,,,,,,,အေးရွာဘလုတ်ညွန့်စက်ကလေး,,,စက်ဆန်း,ရှုခင်းသာ,,တာမွေလေး,ကျိုက္ကဆံ/အနောက်,,,(၁) ဗိုလ်ချို,,,,ရွှေပေါက္ကံမြို့သစ်,အမှတ် (၄၄),အမှတ် (၆၅),အမှတ် (၁၀၉),အမှတ် (၈၄),စဥ့်ငူ,,,ရဲစုတောင်,အမှတ် (၁၉),စခမ်းကြီး,ဝါးနက်ချောင်းဘူတာ,နဲသမိန်,အဖျောက် (၃),,တပင်ရွှေထီး,ဝါးသိင်္ခ,ဆူးကလပ်,ကြည်ဆိပ်,ဖားကူး (အရှေ့),ကြံပင်,မောင်းမ,ရဲနွဲ့,
,,,,,,,စက်ဆန်းအောက်ရုံအလတ်ချောင်း,,,ကူးတို့ဆိပ်,,,မာန်အောင်,ဘဝမြင့်,,,(၂) ဗိုလ်ချို,,,,,အမှတ် (၄၅),အမှတ် (၆၆),အမှတ် (၁၁၀),အမှတ် (၈၅),အောင်ဆန်း,,,ဘောလုံးကွင်း,အမှတ် (၂၀),အုန်းနှဲကုန်း,အောက်ဝါးနက်ချောင်း,ဖိုးနတ်ပေး,အဖျောက် (၄),,ဘုရင့်နောင်,မဆယ်ဆိပ်,ဆိပ်ကြီး,တက်သစ်,ဖားကူး (အနောက်),သောင်ကြီး,ကြူတော,ကျားဝင်း,
,,,,,,,ဆိပ်ကြီးဦးမြငါးစင်,,,,,,,ငမိုးရိပ်,,,ဆရာစံ,,,,,အမှတ် (၄၆),အမှတ် (၇၀),အမှတ် (၁၁၁),အမှတ် (၈၆),တညင်းကုန်း,,,ဧကရာဇ်,အမှတ် (၂၁),ပဲနန်းတုတ်,အင်ကြင်းကုန်း,စံကင်းကြီး,တာဂွ,,ဗညားဒလ,တလုတ်ထော်,ညောင်ငူ,သဝန်းတော,ဒေးဇတ်,ကရင်ချောင်,ကမာချိုက်,ဘန့်ဘွေး,
